text,specialty
Пациент жалуется на насморк.,ЛОР
шум в ушах проявляется в последние дни.,ЛОР
Имеется анамнез на аденоиды.,ЛОР
Ранее пациент лечился от тонзиллит.,ЛОР
острый отит подтверждено результатами обследования.,ЛОР
ангина проявляется в последние дни.,ЛОР
Пациент жалуется на тонзиллит.,ЛОР
Назначено лечение в связи с потеря слуха.,ЛОР
Диагностировано тонзиллит после консультации врача.,ЛОР
Симптоматика указывает на ангина.,ЛОР
Симптоматика указывает на шум в ушах.,ЛОР
Пациент жалуется на боль в ухе.,ЛОР
аденоиды проявляется в последние дни.,ЛОР
Диагностировано аденоиды после консультации врача.,ЛОР
тонзиллит подтверждено результатами обследования.,ЛОР
Ранее пациент лечился от ангина.,ЛОР
Ранее пациент лечился от боль в ухе.,ЛОР
Ранее пациент лечился от аденоиды.,ЛОР
Имеется анамнез на аденоиды.,ЛОР
Назначено лечение в связи с ринит.,ЛОР
Ранее пациент лечился от ангина.,ЛОР
ринит подтверждено результатами обследования.,ЛОР
Обнаружено шум в ушах при осмотре.,ЛОР
Ранее пациент лечился от ангина.,ЛОР
Назначено лечение в связи с потеря слуха.,ЛОР
Симптоматика указывает на аденоиды.,ЛОР
Симптоматика указывает на боль в ухе.,ЛОР
Обнаружено острый отит при осмотре.,ЛОР
Ранее пациент лечился от острый отит.,ЛОР
Диагностировано ангина после консультации врача.,ЛОР
Имеется анамнез на аритмия.,Кардиолог
Симптоматика указывает на сердечная недостаточность.,Кардиолог
Обнаружено кардиограмма при осмотре.,Кардиолог
Поставлен диагноз — тахикардия.,Кардиолог
Обнаружено повышенное давление при осмотре.,Кардиолог
Поставлен диагноз — гипертония.,Кардиолог
Пациент жалуется на болезнь сердца.,Кардиолог
Симптоматика указывает на гипертония.,Кардиолог
Пациент жалуется на гипертония.,Кардиолог
стенокардия подтверждено результатами обследования.,Кардиолог
Обнаружено аритмия при осмотре.,Кардиолог
Пациент жалуется на сердечная недостаточность.,Кардиолог
Имеется анамнез на стенокардия.,Кардиолог
ЭКГ подтверждено результатами обследования.,Кардиолог
Поставлен диагноз — аритмия.,Кардиолог
Поставлен диагноз — инфаркт миокарда.,Кардиолог
тахикардия проявляется в последние дни.,Кардиолог
Имеется анамнез на инфаркт миокарда.,Кардиолог
Поставлен диагноз — кардиограмма.,Кардиолог
Диагностировано кардиограмма после консультации врача.,Кардиолог
Диагностировано сердечная недостаточность после консультации врача.,Кардиолог
Обнаружено гипертония при осмотре.,Кардиолог
Имеется анамнез на ЭКГ.,Кардиолог
Имеется анамнез на кардиограмма.,Кардиолог
Назначено лечение в связи с аритмия.,Кардиолог
повышенное давление подтверждено результатами обследования.,Кардиолог
Имеется анамнез на ЭКГ.,Кардиолог
Пациент жалуется на сердечная недостаточность.,Кардиолог
Назначено лечение в связи с инфаркт миокарда.,Кардиолог
повышенное давление подтверждено результатами обследования.,Кардиолог
Поставлен диагноз — метаболизм.,Эндокринолог
Симптоматика указывает на вес.,Эндокринолог
Имеется анамнез на инсулин.,Эндокринолог
Пациент жалуется на эндокринные нарушения.,Эндокринолог
Обнаружено гипертиреоз при осмотре.,Эндокринолог
Диагностировано вес после консультации врача.,Эндокринолог
Диагностировано вес после консультации врача.,Эндокринолог
Обнаружено гипотиреоз при осмотре.,Эндокринолог
Пациент жалуется на вес.,Эндокринолог
Имеется анамнез на метаболизм.,Эндокринолог
Назначено лечение в связи с сахарный диабет.,Эндокринолог
Диагностировано гипертиреоз после консультации врача.,Эндокринолог
метаболизм проявляется в последние дни.,Эндокринолог
Обнаружено гипертиреоз при осмотре.,Эндокринолог
Обнаружено инсулин при осмотре.,Эндокринолог
Имеется анамнез на инсулин.,Эндокринолог
Поставлен диагноз — эндокринные нарушения.,Эндокринолог
Имеется анамнез на метаболизм.,Эндокринолог
Назначено лечение в связи с гипотиреоз.,Эндокринолог
Имеется анамнез на сахарный диабет.,Эндокринолог
Ранее пациент лечился от инсулин.,Эндокринолог
Ранее пациент лечился от инсулин.,Эндокринолог
сахарный диабет подтверждено результатами обследования.,Эндокринолог
Назначено лечение в связи с сахарный диабет.,Эндокринолог
Диагностировано эндокринные нарушения после консультации врача.,Эндокринолог
Обнаружено вес при осмотре.,Эндокринолог
Имеется анамнез на гормоны.,Эндокринолог
Поставлен диагноз — метаболизм.,Эндокринолог
эндокринные нарушения подтверждено результатами обследования.,Эндокринолог
Пациент жалуется на гипотиреоз.,Эндокринолог
Диагностировано тремор после консультации врача.,Невролог
судороги подтверждено результатами обследования.,Невролог
Поставлен диагноз — чувствительность.,Невролог
тремор подтверждено результатами обследования.,Невролог
Диагностировано чувствительность после консультации врача.,Невролог
Поставлен диагноз — судороги.,Невролог
Обнаружено парез при осмотре.,Невролог
тремор подтверждено результатами обследования.,Невролог
Пациент жалуется на головная боль.,Невролог
Назначено лечение в связи с головная боль.,Невролог
Поставлен диагноз — инсульт.,Невролог
Назначено лечение в связи с невралгия.,Невролог
Диагностировано эпилепсия после консультации врача.,Невролог
мигрень подтверждено результатами обследования.,Невролог
Диагностировано парез после консультации врача.,Невролог
Пациент жалуется на невралгия.,Невролог
Ранее пациент лечился от невралгия.,Невролог
Пациент жалуется на тремор.,Невролог
судороги подтверждено результатами обследования.,Невролог
Ранее пациент лечился от головокружение.,Невролог
инсульт подтверждено результатами обследования.,Невролог
парез проявляется в последние дни.,Невролог
Диагностировано тремор после консультации врача.,Невролог
Поставлен диагноз — невралгия.,Невролог
Симптоматика указывает на мигрень.,Невролог
Имеется анамнез на инсульт.,Невролог
невралгия проявляется в последние дни.,Невролог
Диагностировано невралгия после консультации врача.,Невролог
Обнаружено тремор при осмотре.,Невролог
эпилепсия проявляется в последние дни.,Невролог
Обнаружено желчный пузырь при осмотре.,Гастроэнтеролог
Диагностировано желчный пузырь после консультации врача.,Гастроэнтеролог
Назначено лечение в связи с изжога.,Гастроэнтеролог
Пациент жалуется на диспепсия.,Гастроэнтеролог
язва желудка подтверждено результатами обследования.,Гастроэнтеролог
Симптоматика указывает на гастрит.,Гастроэнтеролог
Пациент жалуется на желчный пузырь.,Гастроэнтеролог
Симптоматика указывает на диспепсия.,Гастроэнтеролог
Ранее пациент лечился от боли в животе.,Гастроэнтеролог
Ранее пациент лечился от язва желудка.,Гастроэнтеролог
Назначено лечение в связи с язва желудка.,Гастроэнтеролог
печень подтверждено результатами обследования.,Гастроэнтеролог
Пациент жалуется на гастрит.,Гастроэнтеролог
Обнаружено кал при осмотре.,Гастроэнтеролог
язва желудка подтверждено результатами обследования.,Гастроэнтеролог
Симптоматика указывает на желчный пузырь.,Гастроэнтеролог
Пациент жалуется на диспепсия.,Гастроэнтеролог
диспепсия проявляется в последние дни.,Гастроэнтеролог
изжога проявляется в последние дни.,Гастроэнтеролог
Диагностировано панкреатит после консультации врача.,Гастроэнтеролог
Обнаружено диспепсия при осмотре.,Гастроэнтеролог
Поставлен диагноз — кал.,Гастроэнтеролог
Поставлен диагноз — кал.,Гастроэнтеролог
Имеется анамнез на боли в животе.,Гастроэнтеролог
Имеется анамнез на тошнота.,Гастроэнтеролог
Диагностировано диспепсия после консультации врача.,Гастроэнтеролог
Поставлен диагноз — печень.,Гастроэнтеролог
Обнаружено печень при осмотре.,Гастроэнтеролог
Симптоматика указывает на язва желудка.,Гастроэнтеролог
язва желудка проявляется в последние дни.,Гастроэнтеролог
Пациент жалуется на экзема.,Дерматолог
Обнаружено дерматит при осмотре.,Дерматолог
Назначено лечение в связи с дерматит.,Дерматолог
Поставлен диагноз — зуд.,Дерматолог
Поставлен диагноз — дерматит.,Дерматолог
Пациент жалуется на кожа.,Дерматолог
угри проявляется в последние дни.,Дерматолог
Симптоматика указывает на угри.,Дерматолог
Диагностировано дерматит после консультации врача.,Дерматолог
Имеется анамнез на псориаз.,Дерматолог
псориаз подтверждено результатами обследования.,Дерматолог
сыпь подтверждено результатами обследования.,Дерматолог
Симптоматика указывает на зуд.,Дерматолог
Назначено лечение в связи с дерматит.,Дерматолог
Диагностировано экзема после консультации врача.,Дерматолог
грибок проявляется в последние дни.,Дерматолог
Ранее пациент лечился от высыпания.,Дерматолог
Пациент жалуется на кожа.,Дерматолог
зуд проявляется в последние дни.,Дерматолог
Имеется анамнез на псориаз.,Дерматолог
Имеется анамнез на угри.,Дерматолог
Обнаружено сыпь при осмотре.,Дерматолог
Ранее пациент лечился от экзема.,Дерматолог
Поставлен диагноз — псориаз.,Дерматолог
Обнаружено высыпания при осмотре.,Дерматолог
Поставлен диагноз — угри.,Дерматолог
Пациент жалуется на пятна.,Дерматолог
Пациент жалуется на псориаз.,Дерматолог
зуд проявляется в последние дни.,Дерматолог
Назначено лечение в связи с кожа.,Дерматолог
Обнаружено инфекция легких при осмотре.,Пульмонолог
Имеется анамнез на бронхит.,Пульмонолог
Диагностировано аллергия после консультации врача.,Пульмонолог
пневмония проявляется в последние дни.,Пульмонолог
Поставлен диагноз — инфекция легких.,Пульмонолог
бронхит проявляется в последние дни.,Пульмонолог
Диагностировано одышка после консультации врача.,Пульмонолог
Назначено лечение в связи с бронхит.,Пульмонолог
Диагностировано аллергия после консультации врача.,Пульмонолог
пневмония подтверждено результатами обследования.,Пульмонолог
аллергия подтверждено результатами обследования.,Пульмонолог
Имеется анамнез на дыхание.,Пульмонолог
Пациент жалуется на инфекция легких.,Пульмонолог
Обнаружено спирометрия при осмотре.,Пульмонолог
Диагностировано бронхит после консультации врача.,Пульмонолог
Ранее пациент лечился от инфекция легких.,Пульмонолог
Ранее пациент лечился от астма.,Пульмонолог
Ранее пациент лечился от аллергия.,Пульмонолог
Пациент жалуется на бронхит.,Пульмонолог
Обнаружено одышка при осмотре.,Пульмонолог
Пациент жалуется на аллергия.,Пульмонолог
Пациент жалуется на бронхит.,Пульмонолог
Поставлен диагноз — бронхит.,Пульмонолог
Пациент жалуется на пневмония.,Пульмонолог
Обнаружено спирометрия при осмотре.,Пульмонолог
Имеется анамнез на хрипы.,Пульмонолог
Обнаружено хрипы при осмотре.,Пульмонолог
Поставлен диагноз — астма.,Пульмонолог
Назначено лечение в связи с одышка.,Пульмонолог
Обнаружено бронхит при осмотре.,Пульмонолог
уретра проявляется в последние дни.,Уролог
Обнаружено мочеиспускание при осмотре.,Уролог
задержка мочи подтверждено результатами обследования.,Уролог
Симптоматика указывает на уретра.,Уролог
Пациент жалуется на моча.,Уролог
Обнаружено почки при осмотре.,Уролог
моча подтверждено результатами обследования.,Уролог
Симптоматика указывает на мочевой пузырь.,Уролог
моча проявляется в последние дни.,Уролог
Ранее пациент лечился от мочеиспускание.,Уролог
Обнаружено простатит при осмотре.,Уролог
почки проявляется в последние дни.,Уролог
Поставлен диагноз — мочевой пузырь.,Уролог
мочевой пузырь проявляется в последние дни.,Уролог
гематурия подтверждено результатами обследования.,Уролог
Ранее пациент лечился от уретра.,Уролог
Поставлен диагноз — мочеиспускание.,Уролог
Диагностировано задержка мочи после консультации врача.,Уролог
Назначено лечение в связи с почки.,Уролог
Обнаружено цистит при осмотре.,Уролог
камни в почках подтверждено результатами обследования.,Уролог
Пациент жалуется на почки.,Уролог
Имеется анамнез на моча.,Уролог
Ранее пациент лечился от моча.,Уролог
Имеется анамнез на мочеиспускание.,Уролог
Обнаружено мочевой пузырь при осмотре.,Уролог
Пациент жалуется на гематурия.,Уролог
Ранее пациент лечился от моча.,Уролог
Диагностировано камни в почках после консультации врача.,Уролог
Имеется анамнез на почки.,Уролог
Обнаружено менструация при осмотре.,Гинеколог
Назначено лечение в связи с влагалище.,Гинеколог
Поставлен диагноз — гинеколог.,Гинеколог
Обнаружено анализ мазка при осмотре.,Гинеколог
анализ мазка подтверждено результатами обследования.,Гинеколог
гинеколог проявляется в последние дни.,Гинеколог
Имеется анамнез на эндометриоз.,Гинеколог
Симптоматика указывает на эндометриоз.,Гинеколог
эндометриоз подтверждено результатами обследования.,Гинеколог
Обнаружено гинекологический осмотр при осмотре.,Гинеколог
Обнаружено эрозия шейки матки при осмотре.,Гинеколог
Симптоматика указывает на анализ мазка.,Гинеколог
Диагностировано цикл после консультации врача.,Гинеколог
Диагностировано эрозия шейки матки после консультации врача.,Гинеколог
гинекологический осмотр подтверждено результатами обследования.,Гинеколог
гинеколог проявляется в последние дни.,Гинеколог
Поставлен диагноз — влагалище.,Гинеколог
Пациент жалуется на анализ мазка.,Гинеколог
Обнаружено беременность при осмотре.,Гинеколог
Обнаружено влагалище при осмотре.,Гинеколог
менструация проявляется в последние дни.,Гинеколог
Назначено лечение в связи с гинеколог.,Гинеколог
Диагностировано беременность после консультации врача.,Гинеколог
Ранее пациент лечился от эндометриоз.,Гинеколог
анализ мазка проявляется в последние дни.,Гинеколог
Обнаружено эрозия шейки матки при осмотре.,Гинеколог
Симптоматика указывает на эрозия шейки матки.,Гинеколог
Назначено лечение в связи с гинеколог.,Гинеколог
Диагностировано эрозия шейки матки после консультации врача.,Гинеколог
